# Estimated time of completion > 75 hours
#
# ONLY PickyFix:
#	Estimated time of completion: 60 hours (2x XeonTM Gold 5118 CPU using 24 of their 48 threads)
# ONLY BGF:
# 	Estimated time of completion: 15 hours (2x XeonTM Gold 5118 CPU using 24 of their 48 threads)
#
# The following are rough approximates for estimating the time for completion:
# 	LEVEL 1: 1000000 tests take ~30s.
# 	LEVEL 3: 1000000 tests take ~60s.
# 	LEVEL 5: 1000000 tests take ~200s.
#
#
# The columns estimated_n_failures and estimated_dfr are not used by dfr_experiment.py
# These columns are here only as an estimate, considering previous partial runs with different
# values of nflips and ntests to guide the user when choosing adequate values for N_TESTS.
#
# Estimated time of completion: 9 hours (2x XeonTM Gold 5118 CPU using 24 threads)
# Considering that ~5s per 100000 tests
# Considering that ~60s per 1000000 tests
#
#
DECODER,LEVEL,MAX_IT_LIST,R_BITS,N_TESTS,EXPERIMENT_CMD
PickyFix,5,5,33301,50000,./bin/main
PickyFix,5,5,33401,50000,./bin/main
PickyFix,5,5,33501,50000,./bin/main
PickyFix,5,5,33601,500000,./bin/main
PickyFix,5,5,33701,5000000,./bin/main
PickyFix,5,5,33801,10000000,./bin/main
PickyFix,5,5,33851,10000000,./bin/main
PickyFix,5,5,33901,50000000,./bin/main
PickyFix,5,5,33951,50000000,./bin/main
BGF,1,2,9001,10000,./bin/main
BGF,1,2,9101,10000,./bin/main
BGF,1,2,9201,10000,./bin/main
BGF,1,2,9301,10000,./bin/main
BGF,1,2,9401,10000,./bin/main
BGF,1,2,9501,100000,./bin/main
BGF,1,2,9601,100000,./bin/main
BGF,1,2,9701,100000,./bin/main
BGF,1,2,9801,100000,./bin/main
BGF,1,2,9901,100000,./bin/main
BGF,1,2,10001,100000,./bin/main
BGF,1,2,10101,100000,./bin/main
BGF,1,2,10201,100000,./bin/main
BGF,1,2,10301,100000,./bin/main
BGF,1,2,10351,100000,./bin/main
BGF,1,3,9001,10000,./bin/main
BGF,1,3,9101,10000,./bin/main
BGF,1,3,9201,10000,./bin/main
BGF,1,3,9301,10000,./bin/main
BGF,1,3,9401,10000,./bin/main
BGF,1,3,9501,100000,./bin/main
BGF,1,3,9601,100000,./bin/main
BGF,1,3,9701,100000,./bin/main
BGF,1,3,9801,100000,./bin/main
BGF,1,3,9901,1000000,./bin/main
BGF,1,3,10001,1000000,./bin/main
BGF,1,3,10051,10000000,./bin/main
BGF,1,3,10101,10000000,./bin/main
BGF,1,3,10151,5000000,./bin/main
BGF,1,3,10201,5000000,./bin/main
BGF,1,3,10201,10000000,./bin/main
BGF,1,3,10251,5000000,./bin/main
BGF,1,3,10251,10000000,./bin/main
BGF,1,3,10301,5000000,./bin/main
BGF,1,3,10301,10000000,./bin/main
BGF,1,3,10351,10000000,./bin/main
BGF,1,3,10351,5000000,./bin/main
BGF,1,3,10401,10000000,./bin/main
BGF,1,3,10451,10000000,./bin/main
BGF,1,3,10501,10000000,./bin/main
BGF,1,3,10551,10000000,./bin/main
BGF,1,4,9001,10000,./bin/main
BGF,1,4,9101,10000,./bin/main
BGF,1,4,9201,10000,./bin/main
BGF,1,4,9301,10000,./bin/main
BGF,1,4,9401,10000,./bin/main
BGF,1,4,9501,100000,./bin/main
BGF,1,4,9601,100000,./bin/main
BGF,1,4,9701,100000,./bin/main
BGF,1,4,9901,1000000,./bin/main
BGF,1,4,9951,1000000,./bin/main
BGF,1,4,10001,10000000,./bin/main
BGF,1,4,10051,10000000,./bin/main
BGF,1,4,10201,10000000,./bin/main
BGF,1,4,10251,10000000,./bin/main
BGF,1,4,10301,10000000,./bin/main
BGF,1,4,10351,10000000,./bin/main
BGF,1,4,10401,10000000,./bin/main
BGF,1,5,9001,10000,./bin/main
BGF,1,5,9101,10000,./bin/main
BGF,1,5,9201,10000,./bin/main
BGF,1,5,9301,10000,./bin/main
BGF,1,5,9401,10000,./bin/main
BGF,1,5,9501,100000,./bin/main
BGF,1,5,9601,100000,./bin/main
BGF,1,5,9701,100000,./bin/main
BGF,1,5,9801,1000000,./bin/main
BGF,1,5,9901,10000000,./bin/main
BGF,3,2,19001,10000,./bin/main
BGF,3,2,19101,10000,./bin/main
BGF,3,2,19201,10000,./bin/main
BGF,3,2,19301,10000,./bin/main
BGF,3,2,19401,10000,./bin/main
BGF,3,2,19501,10000,./bin/main
BGF,3,2,19601,100000,./bin/main
BGF,3,2,19701,100000,./bin/main
BGF,3,2,19801,100000,./bin/main
BGF,3,2,19901,100000,./bin/main
BGF,3,2,20001,5000000,./bin/main
BGF,3,2,20001,100000,./bin/main
BGF,3,2,20051,5000000,./bin/main
BGF,3,2,20101,5000000,./bin/main
BGF,3,2,20101,100000,./bin/main
BGF,3,2,20151,5000000,./bin/main
BGF,3,2,20151,100000,./bin/main
BGF,3,2,20201,5000000,./bin/main
BGF,3,2,20201,100000,./bin/main
BGF,3,2,20251,5000000,./bin/main
BGF,3,2,20251,100000,./bin/main
BGF,3,2,20301,5000000,./bin/main
BGF,3,3,19001,10000,./bin/main
BGF,3,3,19101,10000,./bin/main
BGF,3,3,19201,10000,./bin/main
BGF,3,3,19301,10000,./bin/main
BGF,3,3,19401,10000,./bin/main
BGF,3,3,19501,100000,./bin/main
BGF,3,3,19601,100000,./bin/main
BGF,3,3,19701,500000,./bin/main
BGF,3,3,19800,5000000,./bin/main
BGF,3,3,19801,1000000,./bin/main
BGF,3,3,19851,5000000,./bin/main
BGF,3,3,19851,1000000,./bin/main
BGF,3,3,19901,5000000,./bin/main
BGF,3,3,19901,1000000,./bin/main
BGF,3,3,19951,5000000,./bin/main
BGF,3,3,20001,5000000,./bin/main
BGF,3,3,20051,5000000,./bin/main
BGF,3,3,20101,5000000,./bin/main
BGF,3,4,19001,10000,./bin/main
BGF,3,4,19101,10000,./bin/main
BGF,3,4,19201,10000,./bin/main
BGF,3,4,19301,10000,./bin/main
BGF,3,4,19401,10000,./bin/main
BGF,3,4,19501,10000,./bin/main
BGF,3,4,19601,100000,./bin/main
BGF,3,4,19701,1000000,./bin/main
BGF,3,4,19801,1000000,./bin/main
BGF,3,4,19851,5000000,./bin/main
BGF,3,4,19901,5000000,./bin/main
BGF,3,4,19951,5000000,./bin/main
BGF,3,4,20001,5000000,./bin/main
BGF,3,4,20051,5000000,./bin/main
BGF,3,4,20101,5000000,./bin/main
BGF,3,4,20151,5000000,./bin/main
BGF,3,4,20201,5000000,./bin/main
BGF,3,5,19001,10000,./bin/main
BGF,3,5,19101,10000,./bin/main
BGF,3,5,19201,10000,./bin/main
BGF,3,5,19301,10000,./bin/main
BGF,3,5,19401,10000,./bin/main
BGF,3,5,19501,100000,./bin/main
BGF,3,5,19601,100000,./bin/main
BGF,3,5,19701,1000000,./bin/main
BGF,3,5,19751,10000000,./bin/main
BGF,3,5,19851,5000000,./bin/main
BGF,3,5,19901,5000000,./bin/main
BGF,3,5,19951,5000000,./bin/main
BGF,3,5,20001,5000000,./bin/main
BGF,3,5,20051,5000000,./bin/main
BGF,3,5,20101,5000000,./bin/main
BGF,3,5,20151,5000000,./bin/main
BGF,5,2,33001,50000,./bin/main
BGF,5,2,33101,50000,./bin/main
BGF,5,2,33201,50000,./bin/main
BGF,5,2,33301,50000,./bin/main
BGF,5,2,33401,50000,./bin/main
BGF,5,2,33501,50000,./bin/main
BGF,5,2,33601,50000,./bin/main
BGF,5,2,33701,50000,./bin/main
BGF,5,2,33801,50000,./bin/main
BGF,5,2,33901,50000,./bin/main
BGF,5,2,34001,100000,./bin/main
BGF,5,2,34101,100000,./bin/main
BGF,5,2,34201,100000,./bin/main
BGF,5,2,34251,100000,./bin/main
BGF,5,2,34401,5000000,./bin/main
BGF,5,2,34501,5000000,./bin/main
BGF,5,2,34601,5000000,./bin/main
BGF,5,2,34701,5000000,./bin/main
BGF,5,3,33001,50000,./bin/main
BGF,5,3,33101,50000,./bin/main
BGF,5,3,33201,50000,./bin/main
BGF,5,3,33301,50000,./bin/main
BGF,5,3,33401,50000,./bin/main
BGF,5,3,33501,50000,./bin/main
BGF,5,3,33601,50000,./bin/main
BGF,5,3,33701,50000,./bin/main
BGF,5,3,33801,500000,./bin/main
BGF,5,3,33901,5000000,./bin/main
BGF,5,3,33951,10000000,./bin/main
BGF,5,3,34001,5000000,./bin/main
BGF,5,3,34051,5000000,./bin/main
BGF,5,3,34101,5000000,./bin/main
BGF,5,3,34151,5000000,./bin/main
BGF,5,3,34201,5000000,./bin/main
BGF,5,3,34251,5000000,./bin/main
BGF,5,3,34301,5000000,./bin/main
BGF,5,3,34351,5000000,./bin/main
BGF,5,3,34401,5000000,./bin/main
BGF,5,4,33001,50000,./bin/main
BGF,5,4,33101,50000,./bin/main
BGF,5,4,33201,50000,./bin/main
BGF,5,4,33301,50000,./bin/main
BGF,5,4,33401,50000,./bin/main
BGF,5,4,33501,50000,./bin/main
BGF,5,4,33601,50000,./bin/main
BGF,5,4,33701,500000,./bin/main
BGF,5,4,33801,5000000,./bin/main
BGF,5,4,33851,5000000,./bin/main
BGF,5,4,33901,5000000,./bin/main
BGF,5,4,33951,5000000,./bin/main
BGF,5,4,34001,5000000,./bin/main
BGF,5,4,34051,5000000,./bin/main
BGF,5,4,34101,5000000,./bin/main
BGF,5,4,34151,5000000,./bin/main
BGF,5,5,33851,5000000,./bin/main
BGF,5,5,33901,5000000,./bin/main
BGF,5,5,33951,5000000,./bin/main
BGF,5,5,34001,5000000,./bin/main
BGF,5,5,34051,5000000,./bin/main
